"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-09-28",,,,,"2.27",,,"59","51","51",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-09-29",,,,,"0.81",,,"56","51","55",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-09-30",,,,,"0.00",,,"66","46","51",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-01",,,,,"0.00",,,"69","45","52",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-02",,,,,"0.00",,,"71","40","47",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-03",,,,,"0.00",,,"77","44","51",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-04",,,,,"0.00",,,"84","49","54",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-05",,,,,"0.01",,,"76","54","59",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-06",,,,,"5.69",,,"60","56","57",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-07",,,,,"2.73",,,"60","52","52",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-08",,,,,"0.59",,,"57","47","53",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-09",,,,,"0.00",,,"76","54","55",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-10",,,,,"0.10",,,"57","49","50",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-11",,,,,"0.09",,,"52","43","50",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-12",,,,,"0.00",,,"68","47","50",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-13",,,,,"0.01",,,"81","45","46",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-14",,,,,"0.00",,,"62","43","47",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-15",,,,,"0.00",,,"63","38","42",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-16",,,,,"0.00",,,"60","42","53",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-17",,,,,"0.00",,,"74","55","64",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-18",,,,,"0.00",,,"74","38","46",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-19",,,,,"0.00",,,"67","33","38",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-20",,,,,"0.00",,,"72","38","43",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-21",,,,,"0.00",,,"73","42","49",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-22",,,,,"0.00",,,"65","41","44",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-23",,,,,"0.00",,,"64","38","47",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-24",,,,,"0.04",,,"60","33","39",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-25",,,,,"0.00",,,"53","29","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-26",,,,,"0.26",,,"50","33","37",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-27",,,,,"0.28",,,"37","31","34",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-28",,,,,"0.00",,,"51","34","49",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-29",,,,,"0.11",,,"66","42","44",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-30",,,,,"0.00",,,"48","24","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-10-31",,,,,"0.45",,,"56","33","56",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-01",,,,,"1.25",,,"59","41","41",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-02",,,,,"0.01",,,"59","32","42",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-03",,,,,"0.00",,,"52","36","45",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-04",,,,,"0.68",,,"50","43","46",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-05",,,,,"0.00",,,"55","32","37",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-06",,,,,"0.00",,,"48","35","36",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-07",,,,,"0.00",,,"37","23","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-08",,,,,"0.00",,,"54","32","44",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-09",,,,,"0.00",,,"61","39","47",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-10",,,,,"0.07",,,"57","45","50",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-11",,,,,"1.23",,,"60","46","48",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-12",,,,,"0.00",,,"51","32","39",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-13",,,,,"0.00",,,"53","31","36",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-14",,,,,"0.16","0.4","0.0","37","32","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-15",,,,,"0.00",,,"37","30","34",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-16",,,,,"0.00",,,"41","34","39",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-17",,,,,"0.00",,,"55","29","40",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-18",,,,,"0.01",,,"54","35","35",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-19",,,,,"0.16","1.7","2.0","37","24","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-20",,,,,"0.00",,,"45","25","29",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-21",,,,,"0.00",,,"35","29","35",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-22",,,,,"0.44",,,"52","36","48",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-23",,,,,"0.24",,,"50","38","39",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-24",,,,,"0.00",,,"48","32","36",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-25",,,,,"0.01",,,"44","30","34",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-26",,,,,"0.00",,,"46","27","32",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-27",,,,,"0.00",,,"44","22","27",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-28",,,,,"0.00",,,"51","23","28",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-11-29",,,,,"0.00",,,"57","25","30",,,,,,,
